               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029645,           0.0091048,           0.0071046,             0.81933,             0.95941,              0.9791,             0.67448,            0.017727,           0.0047928,           0.0047396,           0.0097178,           0.0097178,           0.0097178
                  36,            0.030621,           0.0087815,           0.0085794,             0.94086,             0.94074,              0.9747,             0.75319,            0.017557,           0.0043931,           0.0050022,           0.0097011,           0.0097011,           0.0097011
                  37,            0.031523,           0.0089298,           0.0088457,             0.76496,             0.94074,             0.91468,             0.61886,            0.016815,           0.0047072,           0.0063008,            0.009684,            0.009684,            0.009684
                  38,            0.031992,           0.0094745,            0.011948,             0.87475,             0.88874,                0.97,             0.77036,             0.01512,           0.0046556,           0.0093327,           0.0096664,           0.0096664,           0.0096664
                  39,            0.029421,           0.0091139,           0.0083006,             0.88034,             0.94743,             0.94929,              0.6661,            0.017932,           0.0057447,           0.0050012,           0.0096484,           0.0096484,           0.0096484
                  40,            0.030488,           0.0094289,           0.0082179,             0.84963,             0.70727,             0.84074,             0.48724,            0.024358,           0.0086045,           0.0038629,           0.0096299,           0.0096299,           0.0096299
                  41,            0.029877,           0.0089488,           0.0062285,             0.94999,             0.94778,             0.97703,             0.73549,            0.015509,           0.0053234,           0.0046197,            0.009611,            0.009611,            0.009611
                  42,            0.029835,           0.0092359,            0.007387,             0.93749,             0.95174,             0.98525,             0.74554,            0.015528,           0.0043038,            0.005504,           0.0095916,           0.0095916,           0.0095916
                  43,            0.027772,           0.0088397,           0.0068826,             0.95415,             0.94373,             0.98192,             0.72589,            0.019484,           0.0045525,           0.0057938,           0.0095717,           0.0095717,           0.0095717
                  44,            0.028075,           0.0082562,           0.0077962,             0.94874,             0.86665,             0.97752,             0.79317,            0.015079,           0.0048706,           0.0081236,           0.0095514,           0.0095514,           0.0095514
                  45,            0.024353,           0.0086844,            0.006451,             0.92692,             0.92223,             0.98416,             0.68287,             0.01562,           0.0046153,           0.0064686,           0.0095307,           0.0095307,           0.0095307
                  46,            0.027463,           0.0084653,           0.0061418,             0.89883,              0.9591,             0.97674,             0.75287,            0.014576,           0.0052834,           0.0042216,           0.0095095,           0.0095095,           0.0095095
                  47,            0.027588,           0.0090517,           0.0075037,             0.89847,             0.83264,             0.95368,             0.68196,            0.015671,           0.0064449,           0.0065425,           0.0094879,           0.0094879,           0.0094879
                  48,            0.026712,           0.0089443,           0.0067318,             0.92586,             0.96203,             0.97458,             0.75042,            0.016758,             0.00527,           0.0043366,           0.0094659,           0.0094659,           0.0094659
                  49,            0.028785,           0.0080944,           0.0067528,             0.85177,             0.94385,             0.98032,             0.78058,            0.012805,           0.0050855,           0.0066437,           0.0094434,           0.0094434,           0.0094434
                  50,            0.025084,           0.0081651,           0.0051582,             0.91226,             0.92226,             0.98329,             0.78293,            0.014891,           0.0042549,           0.0049626,           0.0094205,           0.0094205,           0.0094205
                  51,            0.026376,           0.0085003,           0.0073671,             0.92526,              0.9134,             0.96919,             0.73822,            0.015275,           0.0043775,           0.0050645,           0.0093971,           0.0093971,           0.0093971
                  52,            0.025242,           0.0080799,           0.0063115,             0.94339,             0.95681,             0.96976,             0.77331,             0.01539,           0.0044453,           0.0035608,           0.0093733,           0.0093733,           0.0093733
                  53,            0.025198,           0.0083075,            0.006093,             0.94761,             0.97037,             0.96971,             0.75086,            0.014726,           0.0043915,           0.0031427,           0.0093491,           0.0093491,           0.0093491
                  54,             0.02545,           0.0083139,           0.0064488,             0.95954,             0.94916,             0.95783,             0.67685,            0.016641,           0.0048755,           0.0031148,           0.0093245,           0.0093245,           0.0093245
                  55,            0.026326,           0.0078711,            0.005684,             0.94908,             0.94815,             0.96134,              0.7321,            0.014577,           0.0048368,           0.0033443,           0.0092995,           0.0092995,           0.0092995
                  56,            0.023954,           0.0073655,           0.0050419,             0.93001,             0.94108,             0.97205,             0.79423,            0.014537,           0.0048442,           0.0037906,            0.009274,            0.009274,            0.009274
                  57,            0.024745,           0.0079691,            0.006705,             0.96987,             0.93263,             0.98517,             0.75502,            0.013411,            0.004768,           0.0027362,           0.0092481,           0.0092481,           0.0092481
                  58,            0.025932,           0.0083536,           0.0060424,             0.93921,             0.97037,             0.99272,             0.76548,            0.013749,            0.004756,           0.0029483,           0.0092219,           0.0092219,           0.0092219
                  59,            0.023587,           0.0078205,           0.0060961,             0.93373,             0.93369,             0.96377,             0.78715,            0.012244,           0.0045586,           0.0051222,           0.0091952,           0.0091952,           0.0091952
                  60,            0.025081,           0.0079966,           0.0050402,             0.94004,             0.95492,             0.98637,              0.7489,            0.013684,            0.004782,           0.0035651,           0.0091681,           0.0091681,           0.0091681
                  61,            0.023578,            0.007919,           0.0054665,             0.88747,             0.97304,             0.97989,             0.74335,            0.014334,           0.0050078,           0.0028713,           0.0091406,           0.0091406,           0.0091406
                  62,            0.022547,           0.0073334,           0.0046837,             0.95208,             0.96914,             0.98663,             0.72766,            0.014781,           0.0045565,           0.0024781,           0.0091127,           0.0091127,           0.0091127
                  63,            0.023302,           0.0073067,           0.0052038,             0.93134,             0.95926,             0.98412,             0.76824,            0.013763,           0.0048655,           0.0046503,           0.0090844,           0.0090844,           0.0090844
                  64,            0.023417,           0.0075778,            0.005453,             0.92861,             0.96037,             0.98725,             0.77238,            0.012334,           0.0040326,            0.004677,           0.0090557,           0.0090557,           0.0090557
                  65,            0.024448,           0.0071742,           0.0035262,             0.94561,             0.92321,             0.97861,             0.72217,             0.01354,           0.0040548,           0.0040519,           0.0090266,           0.0090266,           0.0090266
                  66,            0.022734,           0.0075313,           0.0041257,             0.95071,             0.95489,             0.97623,             0.79265,            0.013578,           0.0038422,           0.0037443,           0.0089972,           0.0089972,           0.0089972
                  67,            0.024884,           0.0072433,           0.0036595,             0.94591,             0.95893,             0.97461,             0.76424,            0.011707,           0.0035548,           0.0037798,           0.0089673,           0.0089673,           0.0089673
                  68,            0.022894,            0.007475,           0.0043888,             0.94045,             0.95872,             0.98867,             0.79597,            0.012932,           0.0034525,           0.0035466,           0.0089371,           0.0089371,           0.0089371
                  69,            0.021789,           0.0068839,           0.0051329,             0.95597,             0.93975,             0.98022,             0.72088,            0.014628,           0.0036663,            0.003588,           0.0089065,           0.0089065,           0.0089065
                  70,            0.022017,           0.0072445,           0.0062068,             0.94836,              0.9563,             0.97595,              0.7688,             0.01321,           0.0035328,           0.0043236,           0.0088755,           0.0088755,           0.0088755
                  71,            0.021978,            0.007495,           0.0040732,             0.93484,             0.95179,              0.9805,             0.78113,            0.011484,           0.0035414,           0.0047431,           0.0088442,           0.0088442,           0.0088442
                  72,            0.022666,           0.0068699,           0.0077068,             0.91655,             0.96867,             0.98388,             0.80344,            0.011796,           0.0037064,           0.0045516,           0.0088124,           0.0088124,           0.0088124
                  73,            0.022208,           0.0072343,           0.0044013,             0.93784,             0.95916,              0.9721,              0.8401,            0.011175,           0.0037137,           0.0041952,           0.0087804,           0.0087804,           0.0087804
                  74,             0.02209,           0.0063632,           0.0034894,             0.93793,             0.95916,             0.96266,             0.79825,            0.013465,           0.0040682,           0.0035405,           0.0087479,           0.0087479,           0.0087479
                  75,              0.0207,           0.0074479,           0.0052076,             0.92534,             0.91082,             0.95361,             0.76737,            0.012795,           0.0045431,           0.0063312,           0.0087151,           0.0087151,           0.0087151
                  76,            0.024174,           0.0079963,           0.0051748,             0.91006,             0.92503,             0.95778,             0.75642,            0.014144,             0.00518,           0.0053107,            0.008682,            0.008682,            0.008682
                  77,             0.01965,           0.0066314,           0.0040297,             0.84997,             0.95921,             0.96805,             0.70553,            0.014589,           0.0044994,           0.0065708,           0.0086485,           0.0086485,           0.0086485
                  78,            0.020721,            0.006756,           0.0047731,             0.84939,             0.94068,             0.96058,             0.74589,            0.013679,           0.0043188,           0.0071999,           0.0086146,           0.0086146,           0.0086146
                  79,            0.023671,           0.0074254,           0.0056361,             0.93566,             0.94692,             0.98702,             0.82419,            0.013108,           0.0039178,           0.0043798,           0.0085805,           0.0085805,           0.0085805
                  80,              0.0216,           0.0068966,           0.0034689,             0.93625,             0.94888,             0.98787,             0.80372,            0.011998,           0.0037126,           0.0040319,           0.0085459,           0.0085459,           0.0085459
                  81,            0.022488,           0.0067445,           0.0046083,             0.92802,             0.96333,             0.98428,             0.81239,            0.011254,           0.0037231,           0.0038244,           0.0085111,           0.0085111,           0.0085111
                  82,            0.021634,           0.0072573,           0.0043791,             0.95121,             0.92971,             0.98231,             0.79413,            0.011765,           0.0037436,           0.0053188,           0.0084759,           0.0084759,           0.0084759
                  83,            0.022205,           0.0063758,           0.0058758,             0.90847,             0.89426,             0.97059,             0.82128,            0.011478,           0.0038506,           0.0057827,           0.0084404,           0.0084404,           0.0084404
                  84,            0.024403,           0.0076387,           0.0055713,             0.91647,             0.90549,             0.98675,             0.70837,            0.013076,           0.0042677,           0.0048368,           0.0084046,           0.0084046,           0.0084046
                  85,            0.020894,           0.0067734,           0.0073732,             0.96067,             0.95929,             0.98412,             0.81695,            0.012718,           0.0036393,           0.0031713,           0.0083684,           0.0083684,           0.0083684
                  86,            0.022001,           0.0070716,            0.006039,             0.96151,             0.95926,             0.98407,             0.75323,            0.012544,           0.0035948,           0.0032911,           0.0083319,           0.0083319,           0.0083319
                  87,             0.02058,           0.0075388,           0.0044746,             0.94171,             0.97778,             0.98835,             0.81834,            0.011164,           0.0036539,           0.0027509,           0.0082952,           0.0082952,           0.0082952
                  88,            0.017428,           0.0065166,           0.0034694,             0.96487,             0.95927,             0.98776,              0.8129,            0.011955,           0.0038595,           0.0025628,           0.0082581,           0.0082581,           0.0082581
                  89,            0.020521,           0.0070368,           0.0033867,             0.96871,             0.97766,             0.98652,             0.75115,            0.011976,            0.003811,            0.002932,           0.0082207,           0.0082207,           0.0082207
                  90,            0.019107,           0.0064202,           0.0048895,             0.97859,             0.93704,             0.97935,             0.79951,            0.011385,           0.0044271,           0.0024772,            0.008183,            0.008183,            0.008183
                  91,             0.01956,           0.0070331,           0.0037751,             0.96454,             0.93892,             0.97968,             0.81121,            0.012528,           0.0044148,           0.0026844,            0.008145,            0.008145,            0.008145
                  92,            0.023555,           0.0073556,           0.0048476,             0.97179,             0.93505,             0.98486,             0.79107,             0.01162,            0.004242,           0.0030501,           0.0081068,           0.0081068,           0.0081068
                  93,             0.01899,           0.0069617,           0.0062221,             0.97029,             0.93122,             0.98688,              0.8372,             0.01094,           0.0040198,            0.003207,           0.0080682,           0.0080682,           0.0080682
                  94,            0.018867,           0.0063944,           0.0036668,             0.96484,             0.96818,             0.98723,             0.78099,            0.012081,            0.004181,           0.0031993,           0.0080294,           0.0080294,           0.0080294
                  95,            0.020657,           0.0071377,           0.0036764,             0.95599,             0.95921,             0.98588,             0.74972,            0.011538,           0.0041699,            0.003136,           0.0079903,           0.0079903,           0.0079903
                  96,            0.018647,           0.0063889,           0.0041147,             0.91934,             0.98887,             0.98674,             0.80381,            0.012253,           0.0039113,           0.0034549,           0.0079509,           0.0079509,           0.0079509
                  97,            0.019677,           0.0066429,           0.0032372,             0.93937,             0.94249,             0.97692,             0.84105,            0.011244,           0.0038309,           0.0045762,           0.0079112,           0.0079112,           0.0079112
                  98,             0.01867,           0.0062869,           0.0056541,             0.95627,             0.94076,              0.9902,              0.8562,           0.0099791,           0.0035768,           0.0039803,           0.0078713,           0.0078713,           0.0078713
                  99,            0.018825,           0.0067284,           0.0047213,             0.95132,             0.94074,             0.98563,             0.85276,           0.0099756,           0.0035686,           0.0037618,           0.0078311,           0.0078311,           0.0078311
                 100,            0.021744,           0.0065413,           0.0057435,             0.94797,             0.94074,             0.97887,             0.77828,            0.011963,            0.004044,           0.0036354,           0.0077907,           0.0077907,           0.0077907
                 101,            0.020703,           0.0072393,           0.0049963,             0.93634,             0.95185,             0.98977,             0.77819,            0.012644,           0.0033991,           0.0038283,             0.00775,             0.00775,             0.00775
                 102,            0.021432,           0.0066196,           0.0059513,              0.9564,             0.93446,             0.99071,             0.82576,            0.011416,           0.0034485,           0.0043571,           0.0077091,           0.0077091,           0.0077091
                 103,            0.021862,           0.0075061,           0.0038541,             0.94604,             0.94608,              0.9835,             0.77819,            0.012227,           0.0039507,           0.0046881,           0.0076679,           0.0076679,           0.0076679
                 104,            0.020468,           0.0069942,           0.0038552,              0.9444,             0.93499,             0.98901,             0.81218,            0.011962,           0.0038363,           0.0045119,           0.0076265,           0.0076265,           0.0076265
                 105,            0.019785,           0.0067637,           0.0040333,             0.95134,             0.91098,             0.99203,             0.83196,            0.011453,           0.0042105,           0.0049999,           0.0075848,           0.0075848,           0.0075848
                 106,            0.019733,           0.0074271,           0.0064679,             0.94361,             0.93333,             0.93084,             0.74019,            0.012236,           0.0047386,           0.0045983,            0.007543,            0.007543,            0.007543
                 107,            0.019126,           0.0071056,           0.0051069,             0.94554,             0.94049,             0.96343,             0.81922,            0.011102,           0.0045716,           0.0040726,           0.0075009,           0.0075009,           0.0075009
                 108,            0.017743,           0.0065406,           0.0038651,             0.92029,             0.99719,              0.9936,             0.79241,            0.011675,           0.0043764,           0.0031876,           0.0074585,           0.0074585,           0.0074585
                 109,            0.018394,           0.0067205,           0.0042671,             0.95811,             0.94888,             0.99165,             0.86153,           0.0099184,           0.0042608,           0.0039322,            0.007416,            0.007416,            0.007416
