               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046942,            0.012113,            0.016694,             0.86045,             0.83704,             0.94214,             0.57304,            0.027131,           0.0064671,           0.0064912,           0.0014235,           0.0014235,            0.086724
                  37,            0.046787,            0.013153,            0.016087,             0.76169,              0.9001,             0.90908,             0.52489,            0.022093,           0.0062351,           0.0071481,           0.0014596,           0.0014596,             0.08636
                  38,            0.047089,            0.012484,            0.014554,             0.97563,             0.84444,             0.96538,              0.5954,            0.021381,           0.0061703,           0.0063858,           0.0014955,           0.0014955,            0.085995
                  39,            0.044755,            0.012057,            0.015486,             0.80645,             0.89878,             0.85526,             0.50702,            0.021515,           0.0060365,           0.0062227,           0.0015312,           0.0015312,            0.085631
                  40,            0.043888,            0.012098,            0.015534,             0.69037,             0.91273,             0.84788,             0.45521,            0.025512,            0.005873,           0.0060767,           0.0015666,           0.0015666,            0.085267
                  41,            0.044881,            0.012422,             0.01324,             0.74004,             0.92034,             0.90486,             0.54911,            0.022081,           0.0058639,            0.005834,           0.0016018,           0.0016018,            0.084902
                  42,            0.044761,            0.012035,            0.012493,             0.82976,             0.95083,             0.95092,             0.60159,             0.02059,           0.0057796,           0.0058388,           0.0016368,           0.0016368,            0.084537
                  43,            0.044396,            0.011471,            0.012068,             0.91895,             0.82995,             0.96171,              0.4822,            0.020428,           0.0056896,           0.0049197,           0.0016715,           0.0016715,            0.084172
                  44,            0.043552,            0.011568,            0.013055,              0.7599,             0.83729,             0.86633,             0.50136,            0.023634,           0.0057323,            0.005591,            0.001706,            0.001706,            0.083806
                  45,            0.043474,            0.011837,            0.013041,             0.90474,             0.78956,             0.89319,             0.53941,            0.025509,           0.0056566,           0.0054075,           0.0017402,           0.0017402,             0.08344
                  46,            0.041262,            0.011164,            0.011513,             0.89629,             0.87407,             0.93332,             0.65231,            0.021224,           0.0055323,           0.0048376,           0.0017742,           0.0017742,            0.083074
                  47,            0.044018,            0.011213,            0.010161,             0.58156,             0.82422,             0.75973,             0.32918,            0.025781,           0.0056548,           0.0051885,            0.001808,            0.001808,            0.082708
