               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.029507,           0.0086425,           0.0052496,             0.94345,             0.91045,             0.96626,             0.69122,            0.016686,            0.004342,           0.0037403,           0.0097178,           0.0097178,           0.0097178
                  36,            0.026115,           0.0084438,           0.0047516,             0.94551,             0.91045,             0.96147,             0.76182,            0.016096,           0.0044453,           0.0043642,           0.0097011,           0.0097011,           0.0097011
                  37,            0.025778,           0.0079266,           0.0053016,             0.96948,             0.93586,             0.96371,             0.75035,            0.015191,           0.0048663,           0.0048048,            0.009684,            0.009684,            0.009684
                  38,             0.02733,           0.0085157,            0.007045,              0.9569,             0.95924,             0.97946,             0.68961,            0.018171,            0.004853,           0.0046358,           0.0096664,           0.0096664,           0.0096664
                  39,            0.026057,           0.0080105,           0.0054694,             0.95854,             0.94499,             0.98426,             0.70111,            0.016178,           0.0047709,           0.0040185,           0.0096484,           0.0096484,           0.0096484
                  40,            0.029134,           0.0090144,           0.0060086,             0.93084,             0.91583,             0.95686,               0.721,            0.017368,           0.0047164,           0.0046709,           0.0096299,           0.0096299,           0.0096299
                  41,            0.024438,           0.0078314,           0.0057992,             0.98952,              0.8697,             0.96705,             0.72838,            0.015798,           0.0046408,           0.0055858,            0.009611,            0.009611,            0.009611
                  42,             0.02588,           0.0077853,           0.0053579,             0.92751,             0.95666,              0.9829,              0.7455,            0.015715,           0.0042713,           0.0043059,           0.0095916,           0.0095916,           0.0095916
                  43,            0.024817,           0.0076895,           0.0066993,             0.89828,             0.96437,             0.97636,             0.74004,            0.014897,           0.0042811,           0.0049555,           0.0095717,           0.0095717,           0.0095717
                  44,            0.025172,            0.008317,           0.0051422,             0.94151,               0.952,             0.97495,             0.76757,            0.016494,           0.0045362,           0.0050277,           0.0095514,           0.0095514,           0.0095514
                  45,              0.0242,           0.0079688,           0.0058958,             0.95029,             0.94557,             0.98381,             0.75293,            0.014037,           0.0043809,            0.004459,           0.0095307,           0.0095307,           0.0095307
                  46,            0.024623,           0.0084459,           0.0049926,             0.98942,             0.93934,             0.98772,              0.7779,            0.014852,           0.0043454,           0.0036885,           0.0095095,           0.0095095,           0.0095095
                  47,            0.023245,           0.0074503,           0.0061236,             0.94589,             0.94202,             0.98861,             0.72148,            0.015998,           0.0041396,           0.0033018,           0.0094879,           0.0094879,           0.0094879
                  48,            0.024291,            0.007959,           0.0058053,             0.90584,             0.95921,             0.97404,              0.7072,            0.014116,           0.0042131,           0.0062467,           0.0094659,           0.0094659,           0.0094659
                  49,            0.022601,           0.0084806,            0.005785,             0.95351,             0.94074,             0.98265,              0.7563,            0.013394,           0.0042273,           0.0046721,           0.0094434,           0.0094434,           0.0094434
                  50,            0.022049,           0.0075025,           0.0041425,              0.9666,             0.96479,              0.9938,             0.81186,            0.015084,           0.0041563,           0.0032656,           0.0094205,           0.0094205,           0.0094205
                  51,            0.024952,           0.0074993,           0.0057455,             0.95507,             0.99484,               0.995,             0.76223,            0.014826,           0.0042888,           0.0029986,           0.0093971,           0.0093971,           0.0093971
                  52,            0.022916,           0.0071837,           0.0050139,             0.90038,             0.95828,             0.98646,             0.66611,            0.017822,           0.0041219,           0.0040677,           0.0093733,           0.0093733,           0.0093733
                  53,            0.022631,             0.00739,           0.0060127,             0.94958,             0.92972,             0.96399,             0.70934,            0.014882,           0.0039795,           0.0059534,           0.0093491,           0.0093491,           0.0093491
                  54,            0.024335,           0.0076426,           0.0065215,             0.96196,             0.94122,             0.97324,             0.77453,            0.015225,           0.0041163,           0.0049932,           0.0093245,           0.0093245,           0.0093245
                  55,            0.022817,           0.0071064,            0.003888,             0.95653,             0.94059,             0.98003,             0.75124,             0.01496,           0.0041671,           0.0050238,           0.0092995,           0.0092995,           0.0092995
                  56,            0.022292,           0.0076716,           0.0061955,             0.93585,             0.94065,             0.98091,             0.72596,            0.014672,           0.0038836,            0.005823,            0.009274,            0.009274,            0.009274
                  57,            0.023828,           0.0079076,           0.0056773,             0.90985,             0.94072,             0.96551,             0.77717,            0.013008,           0.0041693,           0.0058134,           0.0092481,           0.0092481,           0.0092481
                  58,            0.021422,            0.006997,           0.0047794,             0.92889,             0.93327,             0.95398,             0.76037,            0.013351,           0.0044875,           0.0050783,           0.0092219,           0.0092219,           0.0092219
                  59,            0.021367,           0.0069484,           0.0044097,             0.95551,             0.93955,             0.98561,             0.77509,            0.012661,           0.0042719,           0.0031507,           0.0091952,           0.0091952,           0.0091952
                  60,            0.022822,           0.0069379,           0.0048594,             0.93368,             0.99532,             0.99292,              0.8138,            0.015611,           0.0041866,           0.0022509,           0.0091681,           0.0091681,           0.0091681
                  61,            0.023593,           0.0073837,           0.0047817,             0.95514,             0.96554,             0.98737,              0.7101,            0.013808,           0.0044443,           0.0027157,           0.0091406,           0.0091406,           0.0091406
                  62,            0.022893,           0.0070232,           0.0055646,               0.944,             0.94216,             0.98073,             0.83531,              0.0128,           0.0043477,           0.0038205,           0.0091127,           0.0091127,           0.0091127
                  63,            0.021775,           0.0075767,            0.005274,             0.91818,              0.9809,             0.98231,             0.70355,             0.01486,           0.0045092,           0.0039433,           0.0090844,           0.0090844,           0.0090844
                  64,            0.021163,           0.0075285,           0.0064137,             0.96585,             0.95935,             0.98577,             0.78158,            0.012996,           0.0041153,           0.0038291,           0.0090557,           0.0090557,           0.0090557
                  65,            0.020703,           0.0068604,           0.0045506,             0.94805,              0.9518,             0.99078,             0.76709,             0.01242,           0.0038431,           0.0046994,           0.0090266,           0.0090266,           0.0090266
                  66,              0.0209,           0.0071985,           0.0041638,             0.96698,              0.9613,             0.99051,             0.78664,            0.012793,           0.0038514,            0.004258,           0.0089972,           0.0089972,           0.0089972
                  67,            0.020743,           0.0073174,           0.0034959,             0.99466,             0.94539,             0.99162,             0.79735,            0.012907,           0.0037757,           0.0037618,           0.0089673,           0.0089673,           0.0089673
                  68,             0.02026,           0.0072197,           0.0037526,             0.96781,             0.97827,             0.99162,             0.78783,            0.013904,           0.0041013,           0.0035329,           0.0089371,           0.0089371,           0.0089371
                  69,             0.02316,           0.0077278,           0.0057313,             0.99695,             0.91541,             0.99123,             0.81312,            0.012973,           0.0042455,           0.0034211,           0.0089065,           0.0089065,           0.0089065
                  70,            0.020267,           0.0068037,           0.0054881,             0.91848,             0.98589,             0.99007,             0.83294,            0.012744,           0.0041848,           0.0027547,           0.0088755,           0.0088755,           0.0088755
                  71,            0.018896,           0.0071708,            0.004981,             0.93575,             0.93616,             0.96824,             0.74995,            0.013589,           0.0043647,           0.0037542,           0.0088442,           0.0088442,           0.0088442
                  72,            0.022595,           0.0069197,           0.0034427,             0.96118,              0.9331,             0.96691,             0.79462,            0.013098,            0.004351,           0.0048003,           0.0088124,           0.0088124,           0.0088124
                  73,            0.021364,           0.0075852,           0.0061823,             0.92621,             0.92222,             0.95997,             0.79332,            0.011355,           0.0044352,           0.0054456,           0.0087804,           0.0087804,           0.0087804
                  74,             0.01919,            0.006731,           0.0071086,             0.70513,             0.94087,             0.91221,             0.74949,            0.012175,           0.0046647,            0.012846,           0.0087479,           0.0087479,           0.0087479
